序号,编号,状态,标题,副标题,作者,语言,出版日期,类型,出版社,开本,页数,印字,ISBN/ASIN,价格,购买地,购买日期,阅读日期,阅读日期2,评分,简评,
1,2015-001,1遍,聪明的投资者,,本杰明·格雷厄姆,中文,2011年7月,金融,人民邮电出版社,16开,401,252,9787115253699,¥39.90,京东,2015年1月,2015年1月,,★★★★☆,,
2,2015-002,未读,中国哲学简史,,冯友兰,中文,2013年1月,哲学,北京大学出版社,16开,325,228,9787301215692,¥28.00,京东,2015年1月,,,,,
3,2015-003,1遍,证卷市场基础知识,2014最新版证券从业资格考试辅导教材,证券业从业资格考试辅导教材编写组,中文,2012年9月,金融,中国财政经济出版社,16开,351,640,9787509537176,¥21.00,京东,2015年1月,2015年1月,,,,
4,2015-004,阅读中,西方哲学史,从苏格拉底到萨特及其后,Samuel Enoch Stumpf,中文,2009年2月,哲学,世界图书出版公司,16开,508,,9787506287104,¥46.80,亚马逊,2015年1月,,,,,
5,2015-005,未读,Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M.Pirsig,英文,2006年5月,哲学,HarperTorch,32开,560,,9780060589462,¥37.20,亚马逊,2015年1月,,,,,
6,2015-006,1遍,公司法论,,施天涛,中文,2014年9月,法律,法律出版社,16开,641,753,9787511867445,¥56.10,京东,2015年1月,2015年9月,,★★★★☆,,
7,2015-007,未读,两次全球大危机的比较,,刘鹤,中文,2013年2月,经济,中国经济出版社,16开,271,230,9787513623100,¥49.90,京东,2015年1月,,,,,
8,2015-008,未读,1844经济学哲学手稿,,马克思,中文,2002年12月,哲学,人民出版社,大32开,220,80,9787010030197,¥10.40,京东,2015年1月,,,,,
9,2015-009,阅读中,基督教会史,,布鲁斯·L·雪莱,中文,2012年5月,宗教,上海人民出版社,16开,534,554,9787208106598,¥56.40,京东,2015年1月,,,,,
10,2015-010,未读,公司理财,,Stephen A. Ross,中文,2012年2月,财务,机械工业出版社,16开,672,,9787111367512,¥65.00,京东,2015年1月,,,,,
11,2015-011,未读,论历史,,Eric Hobsbawm,中文,2015年1月,历史,中信出版社,32开,424,,9787508648576,¥35.10,京东,2015年1月,,,,,
12,2015-012,1遍,曾国藩的正面与侧面,,张宏杰,中文,2014年4月,历史,民主与建设出版社,16开,320,,9787513903318,¥26.70,京东,2015年2月,2015年1月,,★★★★★,,
13,2015-013,1遍,潜规则,中国历史中的真实游戏,吴思,中文,2011年12月,历史,复旦大学出版社,16开,272,,9787309063660,¥27.70,京东,2015年2月,2015年2月,,★★★☆☆,,
14,2015-014,1遍,血酬定律,中国历史上的生存游戏,吴思,中文,2009年4月,历史,语文出版社,16开,302,,9787802411197,¥19.80,京东,2015年2月,2015年2月,,★★★☆☆,,
15,2015-015,1遍,Project 2010企业项目管理实践,,张会斌,中文,2011年12月,管理,人民邮电出版社,16开,444,296,9787115266675,¥49.30,京东,2015年3月,2015年4月,,★★☆☆☆,,
16,2015-016,未读,曾国藩读书与做人,,张宏杰,中文,2013年1月,历史,国际文化出版公司,16开,360,300,9787512504608,¥29.40,京东,2015年3月,,,,,
17,2015-017,未读,孙子兵法,,孙武,中文,2006年7月,历史,上海古籍出版社,32开,175,,9787532544400,¥15.50,京东,2015年3月,,,,,
18,2015-018,放弃,注册电气工程师执考公共基础考试复习教程,,编委会,中文,2013年7月,教材,天津大学出版社,16开,890,1398,9787561835135,¥93.40,京东,2015年3月,,,,✬☆✭✫✮✯,
19,2015-019,1遍,从0到1,开启商业与未来的秘密,彼得·蒂尔,中文,2015年1月,管理,中信出版社,32开,260,,9787508649719,¥33.80,京东,2015年3月,2015年3月,,★★☆☆☆,,
